crew_member_id,age,gender,technical_skill,experience,assigned_task,time_since_last_meal,specialized_role
233,30,M,4.1,6.2,Navigation,0.9,Pilot
234,46,F,4.6,14.1,Engineering,0.4,Engineer
235,35,M,3.8,8.4,Research,2.3,Scientist
236,39,M,4.8,9.5,Medical,1.6,Doctor
237,31,F,4.0,7.3,Navigation,1.9,Pilot
238,45,M,4.5,12.6,Engineering,0.1,Engineer
239,37,F,4.4,8.9,Research,1.1,Scientist
240,29,M,3.7,6.6,Medical,1.8,Doctor
241,41,M,4.9,12.1,Navigation,0.6,Pilot
242,34,F,4.2,7.2,Engineering,2.5,Engineer
243,38,M,4.7,10.1,Research,1.3,Scientist
244,43,F,3.9,10.5,Medical,1.7,Doctor
245,30,M,4.1,6.1,Navigation,0.8,Pilot
246,46,F,4.6,14.0,Engineering,0.3,Engineer
247,35,M,3.8,8.3,Research,2.2,Scientist
248,39,M,4.8,9.4,Medical,1.5,Doctor
249,31,F,4.0,7.1,Navigation,1.8,Pilot
250,45,M,4.5,12.5,Engineering,0.0,Engineer
251,37,F,4.4,8.7,Research,1.0,Scientist
252,29,M,3.7,6.5,Medical,1.7,Doctor
253,41,M,4.9,12.0,Navigation,0.5,Pilot
254,34,F,4.2,7.1,Engineering,2.4,Engineer
255,38,M,4.7,10.0,Research,1.2,Scientist
256,43,F,3.9,10.4,Medical,1.6,Doctor
257,30,M,4.1,6.0,Navigation,0.7,Pilot
258,46,F,4.6,13.9,Engineering,0.2,Engineer
259,35,M,3.8,8.1,Research,2.1,Scientist
260,39,M,4.8,9.3,Medical,1.4,Doctor
261,31,F,4.0,7.0,Navigation,1.7,Pilot
262,45,M,4.5,12.4,Engineering,0.0,Engineer
263,37,F,4.4,8.5,Research,1.0,Scientist
264,29,M,3.7,6.4,Medical,1.6,Doctor
265,41,M,4.9,11.9,Navigation,0.4,Pilot
266,34,F,4.2,6.9,Engineering,2.3,Engineer
267,38,M,4.7,9.9,Research,1.1,Scientist
268,43,F,3.9,10.3,Medical,1.5,Doctor
269,30,M,4.1,5.9,Navigation,0.6,Pilot
270,46,F,4.6,13.8,Engineering,0.1,Engineer
271,35,M,3.8,8.0,Research,2.0,Scientist
272,39,M,4.8,9.2,Medical,1.3,Doctor
273,31,F,4.0,6.9,Navigation,1.6,Pilot
274,45,M,4.5,12.3,Engineering,0.0,Engineer




